account_no,customer_name,dob,address,tax_id,txn_date,txn_id,txn_type,mode,amount,counterparty,transaction_memo
59993877563,Anjali Taylor,1961-10-20,"798 Main St, Delhi, DL, 110001",PAN9661B,2023-10-01,6209D9942CB6,DEBIT,POS,4884.62,Amazon,Shopping
81172125330,Rohan Verma,1958-09-05,"425 Park Ave, Bangalore, KA, 560001",PAN8394D,2023-10-01,7CA2F08A3C22,DEBIT,POS,11443.85,Amazon,Shopping
12598902645,Michael Verma,1979-02-05,"30 MG Road, Bangalore, KA, 560001",PAN7630A,2023-10-01,4437448DBD00,CREDIT,NEFT,34914.91,Employer / Salary,Salary
11860997897,Amit Singh,1993-11-16,"118 MG Road, London, UK, EC1A 1BB",PAN1977D,2023-10-01,2B7AA8B13894,CREDIT,NEFT,26289.41,Employer / Salary,Salary
50946235198,Vikram Verma,1978-02-20,"551 High St, Bangalore, KA, 560001",PAN3935A,2023-10-01,F1593EF9745E,CREDIT,NEFT,33554.54,Employer / Salary,Salary
20994992968,Pooja Taylor,1976-11-28,"103 High St, New York, NY, 10001",PAN9782C,2023-10-01,EA1B26DFF171,CREDIT,NEFT,24988.07,Employer / Salary,Salary
87073586854,Vikram Smith,1969-06-24,"229 MG Road, Bangalore, KA, 560001",PAN8845D,2023-10-01,271C186ADBD2,DEBIT,POS,8846.85,Amazon,Shopping
38820936246,Sneha Brown,1964-01-01,"280 Park Ave, Delhi, DL, 110001",PAN3274C,2023-10-01,215F8C5435D2,CREDIT,CASH,49500.0,SELF,Branch Cash Deposit
21215636661,Priya Gupta,1971-12-11,"507 Park Ave, Mumbai, MH, 400001",PAN7805D,2023-10-01,8100CE278988,DEBIT,POS,10268.03,Amazon,Shopping
74212078458,Vikram Patel,1980-01-20,"752 Main St, London, UK, EC1A 1BB",PAN6821D,2023-10-01,FFBECCF02C8B,CREDIT,NEFT,21770.86,Employer / Salary,Salary
78098709516,Pooja Taylor,1956-11-09,"926 Park Ave, Bangalore, KA, 560001",PAN1092A,2023-10-01,89AD02931BD8,CREDIT,NEFT,17994.64,Employer / Salary,Salary
84149855424,Sarah Doe,1953-08-27,"515 Park Ave, London, UK, EC1A 1BB",PAN7408B,2023-10-01,785262C5C73C,DEBIT,POS,7380.58,Amazon,Shopping
